,fighter_name_Blue,Height_Blue,Weight_Blue,Reach_Blue,Stance_Blue,SLpM_Blue,Str_Acc_Blue,SApM_Blue,Str_Def_Blue,TD_Avg_Blue,TD_Acc_Blue,TD_Def_Blue,Sub_Avg_Blue
0,Gustavo Lopez,5.5,135,67,1,2.24,41,4.65,51,1.07,50,27,0.5
1,Roman Dolidze,6.2,205,76,1,2.98,51,1.75,61,1.75,50,33,2.2
2,Harry Hunsucker,6.2,241,75,1,4.33,51,8.44,41,0.0,0,0,0.0
3,Montserrat Conejo,5.0,115,61,3,1.0,36,2.07,52,4.0,80,0,2.0
4,Macy Chiasson,5.11,135,72,1,4.16,49,2.17,46,0.98,21,64,0.5
5,Grant Dawson,5.1,145,72,4,3.4,48,2.1,51,3.44,34,40,1.6
6,Max Griffin,5.11,170,76,1,4.14,48,3.94,56,1.7,51,66,0.5
7,Kevin Holland,6.3,185,81,1,4.14,56,2.58,56,1.08,45,51,0.7
8,Jesse Strader,5.7,135,70,1,7.12,56,7.63,42,0.0,0,0,0.0
9,JP Buys,5.5,125,67,1,2.66,45,3.05,43,2.22,50,33,2.2
10,Matheus Nicolau,5.6,125,66,1,3.79,52,2.83,67,1.93,44,100,1.4
11,Ryan Spann,6.5,205,79,1,3.55,45,3.45,47,1.72,41,60,1.7
13,Marcelo Rojo,5.8,145,71,1,5.1,36,7.3,51,1.03,50,100,0.0
15,Ashley Yoder,5.7,115,69,3,2.75,39,3.53,46,1.33,37,68,0.7
16,Davey Grant,5.8,135,69,1,3.93,47,2.47,63,2.3,45,66,0.2
17,Gavin Tucker,5.6,145,66,3,4.39,45,4.28,57,2.98,42,53,1.5
18,Rafa Garcia,5.7,155,70,1,3.47,23,6.6,54,0.0,0,100,0.0
19,JJ Aldrich,5.5,125,67,3,3.76,41,4.55,61,0.8,40,57,0.0
20,Jason Witt,5.1,170,70,1,3.16,65,2.68,29,3.65,50,0,1.8
21,Ray Rodriguez,5.7,135,70,1,0.9,27,3.89,40,1.42,50,44,0.0
22,Jinh Yu Frey,5.3,115,65,3,1.79,40,3.35,44,1.06,42,83,0.7
23,Casey Kenney,5.7,140,68,3,4.81,42,4.3,59,1.1,39,59,0.5
24,Kyler Phillips,5.8,135,72,1,5.32,46,3.04,61,2.88,63,71,0.4
25,Aljamain Sterling,5.7,135,71,1,4.84,49,2.2,63,1.77,24,41,0.9
26,Israel Adesanya,6.4,185,80,4,3.95,49,2.63,61,0.0,0,82,0.3
27,Aleksandar Rakic,6.4,205,78,1,4.23,52,2.23,52,0.75,25,90,0.2
28,Askar Askarov,5.6,125,67,1,3.37,55,2.65,56,2.75,28,64,0.0
29,Megan Anderson,6.0,145,72,1,1.76,46,3.35,37,0.52,25,53,0.5
30,Drew Dober,5.8,155,70,3,4.33,40,3.87,54,0.8,17,55,0.1
31,Jordan Espinosa,5.6,125,69,1,4.22,52,2.94,57,0.75,28,70,0.2
32,Amanda Lemos,5.4,115,65,3,6.21,64,5.39,45,1.98,100,100,0.5
33,Kai Kara-France,5.4,125,69,1,5.02,39,3.84,66,0.53,23,86,0.0
34,Aalon Cruz,6.0,145,78,4,7.58,39,8.88,58,0.0,0,0,0.0
35,Carlos Ulberg,6.4,205,77,1,15.07,62,8.6,47,0.0,0,100,0.0
36,Jake Matthews,5.11,170,73,1,3.03,44,2.16,61,1.93,41,66,0.6
37,Trevin Jones,5.7,140,70,3,3.84,61,6.81,35,1.17,20,0,0.0
38,Ciryl Gane,6.4,245,81,1,5.04,55,1.85,69,1.13,26,100,0.5
40,Ronnie Lawrence,5.8,135,68,4,3.8,58,1.09,61,10.86,76,100,0.5
41,Thiago Moises,5.9,155,70,1,2.85,37,3.88,60,1.06,33,63,1.2
42,Jimmie Rivera,5.4,135,68,1,4.03,40,3.9,60,0.88,27,92,0.1
43,Kevin Croom,5.11,155,73,1,1.35,36,3.22,31,0.97,6,50,1.0
44,Sabina Mazo,5.7,135,70,1,6.56,44,3.91,60,0.81,80,66,0.2
45,Magomed Ankalaev,6.3,205,75,1,3.41,53,1.78,65,1.18,33,85,0.0
46,Maxim Grishin,6.3,220,78,1,2.95,44,2.33,56,0.38,33,66,0.0
47,Chris Daukaus,6.3,250,76,1,11.78,61,3.22,65,0.0,0,100,0.0
48,Darrick Minner,5.7,145,69,1,3.24,70,1.4,43,3.0,62,60,3.6
49,Nassourdine Imavov,6.3,185,75,1,4.17,61,2.03,59,0.5,12,60,2.0
50,Derrick Lewis,6.3,260,79,1,2.59,50,2.16,44,0.52,26,54,0.0
51,John Castaneda,5.6,135,71,4,4.17,49,5.07,55,0.86,25,60,0.0
52,Tom Aspinall,6.5,256,78,1,7.43,66,3.06,65,3.54,100,0,1.8
53,Danny Chavez,5.8,145,67,1,2.93,39,4.17,53,2.5,100,84,0.0
54,Yana Kunitskaya,5.6,135,68,1,4.22,57,2.62,51,1.62,53,50,0.2
55,Drako Rodriguez,5.8,135,69,1,2.57,35,2.57,26,2.75,100,0,2.8
56,Jared Vanderaa,6.4,260,80,1,2.75,52,5.19,33,1.15,100,0,0.0
57,Julian Erosa,6.1,145,74,3,5.07,47,5.72,50,1.32,54,58,0.9
58,Casey O'Neill,5.6,125,69,1,5.64,72,1.84,42,6.91,66,0,1.7
59,Alexa Grasso,5.5,125,66,1,4.96,43,3.61,64,0.28,40,60,0.6
60,Dhiego Lima,6.2,170,75,1,3.14,38,3.93,59,1.38,42,73,0.7
61,Julian Marquez,6.2,185,72,1,3.5,40,2.98,52,0.0,0,53,3.4
62,Gilbert Burns,5.1,170,71,1,3.22,45,3.04,54,2.08,35,50,0.7
63,Brian Kelleher,5.6,145,66,4,3.92,39,5.47,53,1.0,25,59,0.7
64,Ian Heinisch,5.11,185,72,1,3.28,50,2.79,58,1.13,18,60,0.8
65,Mallory Martin,5.4,115,63,1,3.99,59,5.53,58,3.37,63,25,0.5
66,Anthony Hernandez,6.0,185,75,1,4.92,55,5.09,47,3.76,66,70,1.9
67,Philip Rowe,6.3,170,80,1,4.99,60,5.34,51,1.19,33,25,0.0
68,Chris Gutierrez,5.9,145,67,1,4.3,57,2.45,59,0.57,60,73,0.2
69,Manel Kape,5.5,125,68,3,3.67,45,4.3,48,1.0,28,80,0.0
70,Joselyne Edwards,5.8,135,70,1,4.2,53,3.83,46,0.5,16,37,0.5
71,Justin Jaynes,5.7,155,68,1,3.58,42,6.49,58,0.0,0,33,0.6
72,Clay Guida,5.7,155,70,1,2.44,34,2.57,63,3.36,38,68,0.7
73,Alexander Volkov,6.7,250,80,1,4.88,59,2.48,56,0.66,70,66,0.2
74,Beneil Dariush,5.1,155,72,3,4.0,49,2.72,59,2.03,32,81,1.0
75,Frankie Edgar,5.6,135,68,1,3.7,39,2.71,66,2.28,31,65,0.3
76,Danilo Marques,6.6,205,77,1,1.81,88,1.41,50,4.83,34,0,1.2
