,fighter_name_Red,Height_Red,Weight_Red,Reach_Red,Stance_Red,SLpM_Red,Str_Acc_Red,SApM_Red,Str_Def_Red,TD_Avg_Red,TD_Acc_Red,TD_Def_Red,Sub_Avg_Red
0,Adrian Yanez,5.7,135,70,1,4.69,44,2.31,55,0.0,0,100,0.0
1,Trevin Giles,6.0,185,74,1,3.26,56,1.88,62,1.37,80,79,0.3
2,Tai Tuivasa,6.2,264,75,2,4.38,50,3.44,50,0.0,0,46,0.0
3,Cheyanne Buys,5.3,115,63,3,4.1,53,1.67,65,0.0,0,60,0.0
4,Marion Reneau,5.6,135,68,1,3.29,41,3.37,61,0.66,63,50,0.8
5,Leonardo Santos,6.0,155,75,1,2.65,44,2.77,58,1.07,29,89,0.3
6,Song Kenan,6.0,170,71,1,4.39,46,4.37,54,0.0,0,50,0.0
7,Derek Brunson,6.1,185,77,2,3.46,47,2.72,53,3.11,33,94,0.5
8,Montel Jackson,5.1,135,75,2,3.77,55,1.5,56,4.15,77,66,0.2
9,Bruno Silva,6.0,185,73,1,0.0,0,0.0,0,0.0,0,0,0.0
10,Manel Kape,5.5,125,68,2,3.67,45,4.3,48,1.0,28,80,0.0
11,Misha Cirkunov,6.3,205,77,1,4.18,51,3.22,60,4.28,57,71,2.3
13,Charles Jourdain,5.9,145,69,3,4.79,45,4.11,61,0.0,0,47,0.7
15,Angela Hill,5.3,115,64,1,5.66,50,4.98,64,0.45,36,76,0.1
16,Jonathan Martinez,5.8,135,70,2,4.27,46,3.81,58,0.48,37,63,0.0
17,Dan Ige,5.7,145,71,1,3.95,46,3.36,58,1.68,27,59,0.5
18,Nasrat Haqparast,5.1,155,72,2,5.81,47,3.23,74,0.18,16,84,0.0
19,Cortney Casey,5.7,125,67,1,4.33,38,4.19,52,0.28,27,38,0.6
20,Matthew Semelsberger,6.1,170,75,3,7.93,50,5.31,56,1.97,100,100,1.0
21,Rani Yahya,5.6,135,67,1,1.57,37,1.7,50,2.89,33,24,2.0
22,Gloria de Paula,5.5,115,67,1,3.33,54,1.2,70,0.0,0,71,1.0
