,Fighter_fullName
0,Tom Aaron
1,Danny Abbadi
2,Nariman Abbasov
3,David Abbott
4,Hamdy Abdelwahab
5,Shamil Abdurakhimov
6,Hiroyuki Abe
7,Daichi Abe
8,Papy Abedi
9,Ricardo Abreu
10,Klidson Abreu
11,Daniel Acacio
12,John Adajar
13,Scott Adams
14,Juan Adams
15,Anthony Adams
16,Zarrukh Adashev
17,Israel Adesanya
18,Sam Adkins
19,Nick Agallar
20,Mariya Agapova
21,Marcelo Aguiar
22,Fabio Aguiar
23,Edwin Aguilar
24,Jessica Aguilar
25,Kevin Aguilar
26,Jesus Aguilar
27,Christian Aguilera
28,Mike Aina
29,Ashiek Ajim
30,Hitomi Akano
31,Omari Akhmedov
32,Yoshihiro Akiyama
33,Rostem Akman
34,Razak Al-Hassan
35,Mostapha Al-Turk
36,Herdem Alacabek
37,Javi Alanis
38,
39,Amir Albazi
40,Brett Albee
41,John Albert
42,Junior Albini
43,Wes Albritton
44,Aleksandra Albu
45,Israel Albuquerque
46,Juan Alcain
47,Iuri Alcantara
48,Ildemar Alcantara
49,Alfonso Alcarez
50,Gilbert Aldana
51,Irene Aldana
52,Hector Aldana
53,Jose Alday
54,Jose Aldo
55,JJ Aldrich
56,Irina Alekseeva
57,Jim Alers
58,John Alessio
59,Houston Alexander
60,Kenneth Alexander
61,Lucas Alexander
62,Marcio Alexandre Junior
63,Olaf Alfonso
64,Pablo Alfonso
65,Levi Alford
66,Bill Algeo
67,Royce Alger
68,Amir Aliakbari
69,Sultan Aliev
70,Nurullo Aliev
71,Ikram Aliskerov
72,Leon Aliu
73,John Allan
74,George Allen
75,Arnold Allen
76,Brendan Allen
77,Ben Alloway
78,Ricardo Almeida
79,Magno Almeida
80,Thomas Almeida
81,Ericka Almeida
82,Estefani Almeida
83,Jailton Almeida
84,Lucas Almeida
85,Mauricio Alonso
86,Sarah Alpar
87,Ali AlQaisi
88,Rico Altamirano
89,Victor Altamirano
90,Mike Altman
91,Sean Alvarez
92,Eddie Alvarez
93,Jaime Alvarez
94,Joel Alvarez
95,Thiago Alves
96,Anthony Alves
97,Amilcar Alves
98,Warlley Alves
99,Rafael Alves
100,Sam Alvey
101,Andre Amado
102,Adlan Amagov
103,Maiara Amanajas dos Santos
104,Rayanne Amanda
105,Chris Amarante
106,Jimmy Ambriz
107,JJ Ambrose
108,Alen Amedovski
109,Makwan Amirkhani
110,Jaqueline Amorim
111,Bertrand Amoussou
112,Karl Amoussou
113,Eryk Anders
114,Matt Andersen
115,Andy Anderson
116,Lowell Anderson
117,Corey Anderson
118,Derek Anderson
119,Megan Anderson
120,Tatsuya Ando
121,Alex Andrade
122,Jessica Andrade
123,Viscardi Andrade
124,Jermaine Andre
125,Juan Andres Luna
126,Dylan Andrews
127,Reese Andy
128,
129,Julius Anglickas
130,Collin Anglin
131,Chad Anheliger
132,Yoji Anjo
133,Magomed Ankalaev
134,Gadzhimurad Antigulov
135,Adam Antolin
136,Angelo Antonio
137,Azunna Anyanwu
138,Shinsho Anzai
139,Shinya Aoki
140,
141,Josh Appelt
142,Erik Apple
143,Kenji Arai
144,Romie Aram
145,Felipe Arantes
146,Igor Araujo
147,Viviane Araujo
148,Julio Arce
149,Art Arciniega
150,Tristan Arenal
151,Dan Argueta
152,Hashem Arkhagha
153,Andrei Arlovski
154,Garrett Armfield
155,Joey Armstrong
156,Austin Arnett
157,Ricardo Arona
158,Chalid Arrab
159,Akbarh Arreola
160,Matt Arroyo
161,Antonio Arroyo
162,Gilles Arsene
163,Veta Arteaga
164,Cesar Arzamendia
165,Teddy Ash
166,Arman Ashimov
167,
168,Askar Askar
169,Askar Askarov
170,Cyril Asker
171,Khusein Askhabov
172,Scott Askham
173,Ben Askren
174,Ibo Aslan
175,Tom Aspinall
176,Bruno Assis
177,Junior Assuncao
178,Raphael Assuncao
179,Bazigit Atajev
180,Rich Attonito
181,Olivier Aubin-Mercier
182,Pat Audinwood
183,Jose Augusto
184,Marcus Aurelio
185,David Avellan
186,Blas Avena
187,Levi Avera
188,Anthony Avila
189,Chris Avila
190,Julia Avila
191,Saad Awad
192,Javy Ayala
193,Jessin Ayari
194,Abu Azaitar
195,Ottman Azaitar
196,Luiz Azeredo
197,Luciano Azevedo
198,Hunter Azure
199,
200,Niklas Backstrom
201,Seth Baczynski
202,Ryan Bader
203,Izabela Badurek
204,Miguel Baeza
205,Ali Bagautinov
206,Mehdi Baghdad
207,Melsik Baghdasaryan
208,Siyar Bahadurzada
209,Ignacio Bahamondes
210,Shamar Bailey
211,Jordan Bailey
212,Scott Baker
213,Bryan Baker
214,Jin Bala
215,
216,Oluwale Bamgbose
217,Stephen Banaszak
218,Marcin Bandel
219,Humberto Bandenay
220,Tae Hyun Bang
221,Yohan Banks
222,Antonio Banuelos
223,Renan Barao
224,Junior Barata
225,Maycee Barber
226,Bryan Barberena
227,Edson Barboza
228,Raoni Barcelos
229,Daniel Barez
230,Luke Barnatt
231,James Barnes
232,Nick Barnes
233,Shonte Barnes
234,Josh Barnett
235,Chris Barnett
236,Chris Barnhizer
237,David Baron
238,Phil Baroni
239,Dan Barrera
240,Carlos Barreto
241,Jose Barreto
242,Peter Barrett
243,Marc-Andre Barriault
244,David Barrios
245,Alexandre Barros
246,Ricardo Barros
247,Francimar Barroso
248,Pat Barry
249,Dean Barry
250,Enrique Barzola
251,Javid Basharat
252,Farid Basharat
253,Stephen Bass
254,Sean Bassett
255,Ryan Bastianelli
256,Shayna Baszler
257,Michel Batista
258,Bryan Battle
259,Alan Baudot
260,Mario Bautista
261,Chris Beal
262,Donovan Beard
263,Rudy Bears
264,Salvador Becerra
265,Ariel Beck
266,Jeff Bedard
267,Eric Bedard
268,Johnny Bedford
269,Chase Beebe
270,Lyle Beerbohm
271,Allan Begosso
272,Mirsad Bektic
273,Diana Belbita
274,Alan Belcher
275,Vitor Belfort
276,Rodolfo Bellato
277,Danilo Belluardo
278,Joey Beltran
279,Marco Beltran
280,Joseph Benavidez
281,Mike Bencic
282,Dave Beneteau
283,Karla Benitez
284,Gabriel Benitez
285,Charles Bennett
286,Josh Bennett
287,DeAnna Bennett
288,Lance Benoist
289,Joe Benoit
290,Ryan Benoit
291,Pat Benson
292,Len Bentley
293,Steve Berger
294,Kenneth Bergh
295,Bret Bergmark
296,Keith Berish
297,Dennis Bermudez
298,Manny Bermudez
299,Talita Bernardo
300,Dave Berry
301,Keith Berry
302,Dieusel Berto
303,Edson Berto
304,Allen Berube
305,Anton Berzin
306,Scott Bessac
307,Matt Bessette
308,Khadzhi Bestaev
309,Fernando Bettega
310,Arjan Bhullar
311,KB Bhullar
312,Bibulatov Magomed
313,David Bielkheden
314,Blake Bilder
315,Jonas Bilharinho
316,Jeremiah Billington
317,Scott Bills
318,Anthony Birchak
319,Chris Birchler
320,Michael Bisping
321,Amaury Bitetti
322,Caio Bittencourt
323,Simon Biyong
324,Jan Blachowicz
325,Jason Black
326,Brad Blackburn
327,Jason Blackford
328,Tom Blackledge
329,Sherrard Blackledge
330,Da'Mon Blackshear
331,Erin Blanchfield
332,Maximo Blanco
333,David Blanco
334,Curtis Blaydes
335,Tereza Bleda
336,Arlene Blencowe
337,Byron Bloodworth
338,Dashawn Boatwright
339,Dan Bobish
340,Mark Bocek
341,Kyle Bochniak
342,James Bochnovic
343,Jeremy Boczulak
344,Tim Boetsch
345,Galore Bofando
346,Jay Bogan
347,Roman Bogatov
348,Derek Bohi
349,Jerry Bohlander
350,Mandy Bohm
351,Kotetsu Boku
352,Kyle Bolt
353,Denys Bondar
354,Luc Bondole
355,Tony Bonello
356,Gabriel Bonfim
357,Ismael Bonfim
358,Jesse Bongfeldt
359,Marcos Bonilla
360,Stephan Bonnar
361,Rogerio Bontorin
362,Ray Borg
363,Igor Borisov
364,Calen Born
365,Caio Borralho
366,Zachary Borrego
367,Viacheslav Borshchev
368,Tanner Boser
369,Steve Bosse
370,Marcus Bossett
371,Chris Bostick
372,Poliana Botelho
373,Francois Botha
374,Gregory Bouchelaghem
375,Roy Boughton
376,Rich Bouphanouvong
377,Mike Bourke
378,Jess Bouscal
379,Tai Bowden
380,Melton Bowen
381,Kyron Bowen
382,Brian Bowles
383,Roger Bowling
384,Blake Bowman
385,Ashe Bowman
386,Anvar Boynazarov
387,Colley Bradford
388,Kyle Bradley
389,Paul Bradley
390,Sean Brady
391,Ebenezer Fontes Braga
392,Ramiz Brahimaj
393,Joe Brammer
394,David Branch
395,Diego Brandao
396,Bruna Brasil
397,Michael Bravo
398,Martin Bravo
399,Mike Breeden
400,Tom Breese
401,Chris Brennan
402,Charlie Brenneman
403,Robert Breslin
404,Mack Brewer
405,Marcos Brigagao
406,Jason Brilz
407,Marcus Brimage
408,Aaron Brink
409,Henry Briones
410,Marcelo Brito
411,Joanderson Brito
412,Antwain Britt
413,Drew Brokenshire
414,Mike Bronzoulis
415,Jonathan Brookins
416,Will Brooks
417,Jarred Brooks
418,Rob Broughton
419,Lee Brousseau
420,Matt Brown
421,Mike Brown
422,Dominic Brown
423,Todd Brown
424,Terrell Brown
425,Chris Brown
426,Frederick Brown
427,Randy Brown
428,Damien Brown
429,TJ Brown
430,Humberto Brown Morrison
431,Travis Browne
432,Junie Browning
433,Jules Bruchez
434,Justin Bruckmann
435,Cody Brundage
436,Steve Bruno
437,Fernando Bruno
438,Derek Brunson
439,Josh Bryant
440,Dennis Bryant
441,Lukasz Brzeski
442,Justin Buchholz
443,Zak Bucia
444,Courtney Buck
445,Joaquin Buckley
446,Martin Buday
447,Julia Budd
448,Mike Budnik
449,Francisco Bueno
450,Mayra Bueno Silva
451,Paul Buentello
452,Modestas Bukauskas
453,Lee Kwan Bum
454,Josh Bumgarner
455,Shawn Bunch
456,Shane Burgos
